"Date","Team","Opp","GS","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GSv2"
"2017-06-06","SEA","MIN","1","1","0","5.40","1","1","0","0","0","0","0","5.0","22","5","3","3","1","3","0","0","2","0","4","44"
"2017-05-31","SEA","COL","1","1","0","0.00","1","1","0","0","0","0","0","5.1","19","3","0","0","0","0","0","0","0","1","6","73"
"2017-05-02","SEA","LAA","1","0","0","1.69","1","1","0","0","0","0","0","5.1","26","5","2","1","0","5","1","0","2","0","6","53"
"2017-04-26","SEA","@DET","1","1","0","0.00","1","1","0","0","0","0","0","7.0","26","4","0","0","0","1","0","0","0","0","9","82"
"2017-04-20","SEA","@OAK","1","0","0","10.38","1","1","0","0","0","0","0","4.1","23","9","5","5","0","1","0","0","1","0","8","40"
"2017-04-15","SEA","TEX","1","1","0","0.00","1","1","0","0","0","0","0","8.0","26","2","0","0","0","1","0","0","1","0","9","92"
"2017-04-10","SEA","HOU","1","1","0","0.00","1","1","0","0","0","0","0","7.0","26","4","0","0","0","2","0","0","0","0","8","79"
"2017-04-05","SEA","@HOU","1","0","0","0.00","1","1","0","0","0","0","0","6.0","23","2","0","0","0","1","0","0","3","0","5","76"
"2016-09-28","SEA","@HOU","1","1","0","5.40","1","1","0","0","0","0","0","5.0","22","6","3","3","1","1","0","0","0","0","8","49"
"2016-09-23","SEA","@MIN","1","1","0","1.29","1","1","0","0","0","0","0","7.0","25","5","1","1","0","0","0","0","0","0","9","78"
"2016-09-17","SEA","HOU","1","0","1","2.57","1","1","0","0","0","0","0","7.0","26","4","2","2","0","1","1","0","0","0","7","73"
"2016-09-11","SEA","@OAK","1","0","0","3.00","1","1","0","0","0","0","0","6.0","23","5","2","2","0","2","0","0","0","0","3","59"
"2016-09-06","SEA","TEX","1","0","1","8.31","1","1","0","0","0","0","0","4.1","24","9","6","4","1","0","0","0","1","0","8","32"
"2016-08-30","SEA","@TEX","1","0","0","7.20","1","1","0","0","0","0","0","5.0","24","8","4","4","1","1","0","0","0","0","4","38"
"2016-08-25","SEA","@CHW","1","0","0","5.40","1","1","0","0","0","0","0","5.0","22","7","3","3","0","1","0","0","0","0","5","50"
"2016-08-07","SEA","LAA","1","1","0","0.00","1","1","0","0","0","0","0","8.1","32","5","1","0","0","1","0","0","0","0","6","81"
"2016-08-01","SEA","BOS","1","0","0","1.13","1","1","0","0","0","0","0","8.0","27","4","1","1","1","0","0","0","0","0","6","77"
"2016-07-27","SEA","@PIT","1","0","1","5.40","1","1","0","0","0","0","0","5.0","23","6","3","3","0","1","0","1","0","0","6","53"
"2016-07-22","SEA","@TOR","1","1","0","1.29","1","1","0","0","0","0","0","7.0","24","3","1","1","1","1","0","0","0","0","9","74"
"2016-07-15","SEA","HOU","1","0","1","10.80","1","1","0","0","0","0","0","5.0","23","9","6","6","1","1","1","0","3","0","1","27"
"2016-07-07","SEA","@KCR","1","0","0","2.25","1","1","0","0","0","0","0","8.0","28","7","2","2","0","1","0","0","0","0","2","68"
"2016-07-02","SEA","BAL","1","1","0","4.76","1","1","0","0","0","0","0","5.2","27","9","4","3","0","2","0","0","0","0","2","42"
"2016-06-26","SEA","STL","1","0","0","9.00","1","1","0","0","0","0","0","5.0","26","8","5","5","0","2","0","0","0","0","7","42"
"2016-06-21","SEA","@DET","1","0","1","4.70","1","1","0","0","0","0","0","7.2","35","11","4","4","0","3","1","0","1","0","5","51"
"2016-06-16","SEA","@TBR","1","1","0","4.50","1","1","0","0","0","0","0","6.0","27","7","3","3","0","2","0","0","0","0","5","54"
"2016-06-11","SEA","TEX","1","0","0","0.00","1","1","0","0","0","0","0","6.1","24","6","0","0","0","2","0","0","0","0","7","69"
"2016-06-06","SEA","CLE","1","0","1","1.50","1","1","0","0","0","0","0","6.0","25","5","3","1","1","1","0","0","0","0","10","59"
"2016-06-01","SEA","@SDP","1","0","1","7.36","1","1","0","0","0","0","0","3.2","24","10","8","3","2","1","0","0","0","0","7","11"
"2015-09-24","SEA","@KCR","1","0","0","13.50","1","1","0","0","0","0","0","1.1","9","5","2","2","1","0","0","0","0","0","1","25"
"2015-09-18","SEA","@TEX","1","0","0","2.08","1","1","0","0","0","0","0","4.1","22","6","1","1","0","4","0","0","2","0","6","47"
"2015-09-13","SEA","COL","1","0","1","6.00","1","1","0","0","0","0","0","3.0","15","2","3","2","0","3","0","0","0","0","4","41"
"2015-05-28","SEA","CLE","1","0","1","5.79","1","1","0","0","0","0","0","4.2","24","8","4","3","1","1","0","0","0","0","4","34"
