"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"Total","- - -","- - -","- - -","- - -","191","40","9","0","4","23","11","2","3","8.9 %","19.4 %",".124",".279",".235",".312",".359",".298","86"
"2018-09-30","BAL","HOU","1","LF-CF","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-29","BAL","HOU","1","CF","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","33"
"2018-09-29","BAL","HOU","1","CF","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-28","BAL","HOU","1","CF","4","1","0","0","0","0","0","0","1","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","33"
"2018-09-26","BAL","@BOS","1","CF","6","0","0","0","0","1","0","0","0","0.0 %","16.7 %",".000",".000",".000",".167",".000",".120","-36"
"2018-09-26","BAL","@BOS","1","CF","5","0","0","0","0","0","0","0","0","20.0 %","40.0 %",".000",".000",".000",".200",".000",".138","-23"
"2018-09-24","BAL","@BOS","1","CF","4","0","0","0","0","0","0","0","0","25.0 %","50.0 %",".000",".000",".000",".250",".000",".172","0"
"2018-09-23","BAL","@NYY","1","CF","5","0","0","0","0","0","0","0","0","0.0 %","40.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-22","BAL","@NYY","1","CF","6","2","0","0","0","0","1","0","0","0.0 %","16.7 %",".000",".400",".333",".333",".333",".293","83"
"2018-09-21","BAL","@NYY","1","CF","5","2","0","0","0","3","0","1","0","20.0 %","0.0 %",".000",".500",".500",".600",".500",".490","217"
"2018-09-19","BAL","TOR","1","CF","4","1","0","0","0","0","1","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","33"
"2018-09-18","BAL","TOR","1","CF","4","1","0","0","1","1","1","0","0","0.0 %","0.0 %",".750",".000",".250",".250","1.000",".508","229"
"2018-09-17","BAL","TOR","1","CF","4","0","0","0","0","0","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","0"
"2018-09-16","BAL","CHW","1","CF","5","4","1","0","0","1","1","1","0","0.0 %","0.0 %",".200",".800",".800",".800","1.000",".777","413"
"2018-09-15","BAL","CHW","1","CF","4","1","0","0","0","0","0","0","0","25.0 %","0.0 %",".000",".333",".333",".500",".333",".392","150"
"2018-09-14","BAL","CHW","1","CF","5","2","1","0","0","0","1","0","0","20.0 %","20.0 %",".250",".667",".500",".600",".750",".563","267"
"2018-09-13","BAL","OAK","1","CF","4","1","0","0","0","1","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","33"
"2018-09-12","BAL","OAK","1","CF","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-11","BAL","OAK","1","CF","4","0","0","0","0","0","0","0","0","25.0 %","50.0 %",".000",".000",".000",".250",".000",".172","0"
"2018-09-09","BAL","@TBR","1","CF","5","0","0","0","0","0","0","0","1","20.0 %","40.0 %",".000",".000",".000",".200",".000",".138","-23"
"2018-09-08","BAL","@TBR","1","CF","5","1","0","0","0","1","0","0","0","20.0 %","20.0 %",".000",".333",".250",".400",".250",".314","97"
"2018-09-07","BAL","@TBR","1","CF","4","1","0","0","0","1","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","33"
"2018-09-05","BAL","@SEA","1","CF","5","1","1","0","0","1","0","0","0","0.0 %","20.0 %",".250",".333",".250",".400",".500",".393","151"
"2018-09-04","BAL","@SEA","7","PH-CF","2","1","0","0","0","1","0","0","0","50.0 %","0.0 %",".000","1.000","1.000","1.000","1.000",".785","418"
"2018-09-03","BAL","@SEA","1","CF","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-02","BAL","@KCR","1","CF","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-01","BAL","@KCR","1","CF","5","0","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-31","BAL","@KCR","1","CF","4","2","1","0","1","2","1","0","0","0.0 %","0.0 %","1.000",".333",".500",".500","1.500",".820","442"
"2018-08-28","BAL","TOR","4","CF","0","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000",""
