"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"Total","- - -","- - -","- - -","- - -","6433","1461","322","25","173","775","662","108","42","9.6 %","21.7 %",".157",".311",".258",".339",".415",".330","104"
"2018-09-29","KCR","CLE","3","LF","5","2","0","0","0","1","1","0","0","0.0 %","20.0 %",".000",".500",".400",".400",".400",".352","122"
"2018-09-28","KCR","CLE","3","LF","2","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-27","KCR","CLE","3","LF","5","0","0","0","0","0","0","0","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".138","-24"
"2018-09-26","KCR","@CIN","3","LF","4","2","0","0","1","1","2","0","0","0.0 %","25.0 %",".750",".500",".500",".500","1.250",".728","378"
"2018-09-25","KCR","@CIN","3","LF","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-23","KCR","@DET","3","LF","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","32"
"2018-09-22","KCR","@DET","3","LF","4","1","0","0","1","1","1","0","0","0.0 %","25.0 %",".750",".000",".250",".250","1.000",".508","228"
"2018-09-21","KCR","@DET","3","LF","4","3","0","0","0","0","1","0","0","0.0 %","25.0 %",".000","1.000",".750",".750",".750",".660","332"
"2018-09-19","KCR","@PIT","3","LF","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-18","KCR","@PIT","3","LF","5","1","1","0","0","0","0","0","0","0.0 %","40.0 %",".200",".333",".200",".200",".400",".249","52"
"2018-09-17","KCR","@PIT","3","LF","5","2","1","0","0","1","2","0","0","0.0 %","0.0 %",".250",".500",".500",".600",".750",".569","270"
"2018-09-16","KCR","MIN","3","LF","4","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","32"
"2018-09-15","KCR","MIN","3","LF","5","3","2","0","0","0","5","0","0","0.0 %","0.0 %",".400",".600",".600",".600","1.000",".675","342"
"2018-09-14","KCR","MIN","3","LF","5","1","0","0","0","1","0","0","0","20.0 %","20.0 %",".000",".333",".250",".400",".250",".220","32"
"2018-09-13","KCR","MIN","3","LF","5","0","0","0","0","0","1","0","0","40.0 %","20.0 %",".000",".000",".000",".600",".000",".420","168"
"2018-09-12","KCR","CHW","3","LF","5","1","0","0","0","0","0","1","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".176","2"
"2018-09-11","KCR","CHW","3","LF","4","0","0","0","0","1","1","1","0","25.0 %","50.0 %",".000",".000",".000",".250",".000",".000","-100"
"2018-09-10","KCR","CHW","3","LF","4","2","1","0","0","0","0","1","0","0.0 %","25.0 %",".250",".667",".500",".500",".750",".532","244"
"2018-09-09","KCR","@MIN","3","LF","4","0","0","0","0","0","0","0","0","50.0 %","0.0 %",".000",".000",".000",".750",".000",".525","240"
"2018-09-08","KCR","@MIN","3","LF","5","1","0","0","0","0","1","0","0","0.0 %","40.0 %",".000",".333",".200",".200",".200",".176","2"
"2018-09-07","KCR","@MIN","3","LF","5","1","1","0","0","1","2","0","0","20.0 %","0.0 %",".250",".250",".250",".400",".500",".387","146"
"2018-09-05","KCR","@CLE","2","LF","4","1","1","0","0","1","0","0","0","0.0 %","50.0 %",".250",".500",".250",".250",".500",".312","94"
"2018-09-04","KCR","@CLE","3","LF","4","1","0","0","1","1","1","0","0","0.0 %","25.0 %",".750",".000",".250",".250","1.000",".508","228"
"2018-09-03","KCR","@CLE","2","LF","5","0","0","0","0","0","0","0","0","0.0 %","60.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-02","KCR","BAL","2","LF","5","3","1","0","0","2","1","0","0","0.0 %","0.0 %",".200",".600",".600",".600",".800",".601","292"
"2018-09-01","KCR","BAL","2","DH","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-31","KCR","BAL","2","LF","5","1","0","0","0","1","0","1","0","20.0 %","20.0 %",".000",".333",".250",".400",".250",".314","96"
"2018-08-29","KCR","DET","2","LF","4","1","0","0","1","1","2","0","0","0.0 %","0.0 %",".750",".000",".250",".250","1.000",".508","228"
