"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"Total","- - -","- - -","- - -","- - -","4061","1030","176","25","36","513","327","55","33","6.7 %","16.5 %",".093",".340",".285",".352",".378",".323","103"
"2018-09-30","ARI","@SDP","6","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-29","ARI","@SDP","1","CF","5","0","0","0","0","0","1","0","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".138","-24"
"2018-09-28","ARI","@SDP","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-26","ARI","LAD","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-25","ARI","LAD","1","RF","4","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","31"
"2018-09-23","ARI","COL","8","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-22","ARI","COL","1","RF","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-21","ARI","COL","1","RF","4","2","1","0","0","1","0","0","0","0.0 %","25.0 %",".250",".667",".500",".500",".750",".532","239"
"2018-09-19","ARI","CHC","1","RF","4","2","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".500",".500",".500",".500",".440","178"
"2018-09-17","ARI","CHC","9","RF","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-16","ARI","@HOU","1","RF","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-14","ARI","@HOU","9","PH","1","1","0","1","0","1","1","0","0","0.0 %","0.0 %","2.000","1.000","1.000","1.000","3.000","1.578","938"
"2018-09-13","ARI","@COL","1","LF","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","31"
"2018-09-11","ARI","@COL","1","RF","5","0","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-10","ARI","@COL","9","RF-CF","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-09","ARI","ATL","1","LF","5","2","0","0","0","0","1","0","0","20.0 %","20.0 %",".000",".667",".500",".600",".500",".490","211"
"2018-09-08","ARI","ATL","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-07","ARI","ATL","1","RF","5","0","0","0","0","0","0","0","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".138","-24"
"2018-09-06","ARI","ATL","8","PH","1","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000","1.000","1.000","1.000","1.000",".880","471"
"2018-09-03","ARI","SDP","1","CF","5","0","0","0","0","0","0","0","0","0.0 %","40.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-02","ARI","@LAD","1","RF","3","0","0","0","0","0","0","0","0","0.0 %","66.7 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-30","ARI","@LAD","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-28","ARI","@SFG","1","LF","5","0","0","0","0","0","0","0","0","20.0 %","0.0 %",".000",".000",".000",".200",".000",".138","-24"
"2018-08-27","ARI","@SFG","1","CF","4","3","0","1","0","0","0","0","0","0.0 %","0.0 %",".500",".750",".750",".750","1.250",".834","441"
"2018-08-26","ARI","SEA","1","RF","4","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","31"
"2018-08-25","ARI","SEA","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000","1.000",".000",".720","365"
"2018-08-24","ARI","SEA","9","PH","1","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000","1.000","1.000","1.000","1.000",".880","471"
"2018-08-21","ARI","LAA","8","PH","1","0","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".000",".000","1.000",".000",".720","365"
"2018-08-19","ARI","@SDP","1","RF","5","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-18","ARI","@SDP","1","LF","5","2","0","0","0","2","0","0","0","0.0 %","20.0 %",".000",".500",".400",".400",".400",".352","119"
"2018-08-17","ARI","@SDP","1","LF","5","2","0","0","0","2","0","0","0","0.0 %","20.0 %",".000",".667",".500",".500",".500",".440","178"
"2018-08-16","ARI","@SDP","1","RF","5","1","1","0","0","1","0","0","0","0.0 %","20.0 %",".250",".333",".250",".400",".500",".393","147"
"2018-08-14","ARI","@TEX","1","CF","5","2","0","0","0","0","1","0","0","20.0 %","0.0 %",".000",".500",".500",".600",".500",".490","211"
"2018-08-13","ARI","@TEX","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-12","ARI","@CIN","1","RF","5","2","0","0","0","2","0","0","0","0.0 %","40.0 %",".000",".667",".400",".400",".400",".352","119"
"2018-08-08","ARI","PHI","1","RF","5","2","2","0","0","1","0","0","0","0.0 %","20.0 %",".400",".500",".400",".400",".800",".499","217"
"2018-08-06","ARI","PHI","1","CF","7","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-05","ARI","SFG","7","CF","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
