GAME_ID, YEAR_ID, AWAY_TEAM_ID, INN_CT, BAT_HOME_ID, OUTS_CT, BALLS_CT, STRIKES_CT, PITCH_SEQ_TX, AWAY_SCORE_CT, HOME_SCORE_CT, BAT_ID, BAT_HAND_CD, RESP_BAT_ID, RESP_BAT_HAND_CD, PIT_ID, PIT_HAND_CD, RES_PIT_ID, RES_PIT_HAND_CD, POS2_FLD_ID, POS3_FLD_ID, POS4_FLD_ID, POS5_FLD_ID, POS6_FLD_ID, POS7_FLD_ID, POS8_FLD_ID, POS9_FLD_ID, BASE1_RUN_ID, BASE2_RUN_ID, BASE3_RUN_ID, EVENT_TX, LEADOFF_FL, PH_FL, BAT_FLD_CD, BAT_LINEUP_ID, EVENT_CD, BAT_EVENT_FL, AB_FL, H_CD, SH_FL, SF_FL, EVENT_OUTS_CT, DP_FL, TP_FL, RBI_CT, WP_FL, PB_FL, FLD_CD, BATTEDBALL_CD, BUNT_FL, FOUL_FL, BATTEDBALL_LOC_TX, ERR_CT, ERR1_FLD_CD, ERR1_CD, ERR2_FLD_CD, ERR2_CD, ERR3_FLD_CD, ERR3_CD, BAT_DEST_ID, RUN1_DEST_ID, RUN2_DEST_ID, RUN3_DEST_ID, BAT_PLAY_TX, RUN1_PLAY_TX, RUN2_PLAY_TX, RUN3_PLAY_TX, RUN1_SB_FL, RUN2_SB_FL, RUN3_SB_FL, RUN1_CS_FL, RUN2_CS_FL, RUN3_CS_FL, RUN1_PK_FL, RUN2_PK_FL, RUN3_PK_FL, RUN1_RESP_PIT_ID, RUN2_RESP_PIT_ID, RUN3_RESP_PIT_ID, GAME_NEW_FL, GAME_END_FL, PR_RUN1_FL, PR_RUN2_FL, PR_RUN3_FL, REMOVED_FOR_PR_RUN1_ID, REMOVED_FOR_PR_RUN2_ID, REMOVED_FOR_PR_RUN3_ID, REMOVED_FOR_PH_BAT_ID, REMOVED_FOR_PH_BAT_FLD_CD, PO1_FLD_CD, PO2_FLD_CD, PO3_FLD_CD, ASS1_FLD_CD, ASS2_FLD_CD, ASS3_FLD_CD, ASS4_FLD_CD, ASS5_FLD_CD, EVENT_ID, HOME_TEAM_ID, BAT_TEAM_ID, FLD_TEAM_ID, BAT_LAST_ID, INN_NEW_FL, INN_END_FL, START_BAT_SCORE_CT, START_FLD_SCORE_CT, INN_RUNS_CT, GAME_PA_CT, INN_PA_CT, PA_NEW_FL, PA_TRUNC_FL, START_BASES_CD, END_BASES_CD, BAT_START_FL, RESP_BAT_START_FL, BAT_ON_DECK_ID, BAT_IN_HOLD_ID, PIT_START_FL, RESP_PIT_START_FL, RUN1_FLD_CD, RUN1_LINEUP_ID, RUN1_ORIGIN_EVENT_ID, RUN2_FLD_CD, RUN2_LINEUP_ID, RUN2_ORIGIN_EVENT_ID, RUN3_FLD_CD, RUN3_LINEUP_ID, RUN3_ORIGIN_EVENT_ID, RUN1_RESP_CATCH_ID, RUN2_RESP_CATCH_ID, RUN3_RESP_CATCH_ID, PA_BALL_CT, PA_CALLED_BALL_CT, PA_INTENT_BALL_CT, PA_PITCHOUT_BALL_CT, PA_HIT_BALL_CT, PA_OTHER_BALL_CT, PA_STRIKE_CT, PA_CALLED_STRIKE_CT, PA_SWINGMISS_STRIKE_CT, PA_FOUL_STRIKE_CT, PA_BIP_STRIKE_CT, PA_OTHER_STRIKE_CT, EVENT_RUNS_CT, FLD_ID, BASE2_FORCE_FL, BASE3_FORCE_FL, BASE4_FORCE_FL, BAT_SAFE_ERR_FL, BAT_FATE_ID, RUN1_FATE_ID, RUN2_FATE_ID, RUN3_FATE_ID, FATE_RUNS_CT, ASS6_FLD_CD, ASS7_FLD_CD, ASS8_FLD_CD, ASS9_FLD_CD, ASS10_FLD_CD, UNKNOWN_OUT_EXC_FL, UNCERTAIN_PLAY_EXC_FL
TOR201803300,2018,NYA,8,1,0,3,1,BBCBX,4,1,pillk001,R,pillk001,R,kahnt001,R,kahnt001,R,sancg002,walkn001,wadet002,drurb001,gregd001,mckib001,gardb001,judga001,martr004,,,,F,F,8,8,2,T,T,0,F,F,1,F,F,0,F,F,9,F,F,F,,0,0,N,0,N,0,N,0,1,0,0,,,,,F,F,F,F,F,F,F,F,F,kahnt001,,,F,F,F,F,F,,,,,0,9,0,0,0,0,0,0,0,60,TOR,TOR,NYA,1,F,F,1,4,0,25,1,T,F,1,1,T,T,diaza003,travd001,F,F,2,7,59,0,0,0,0,0,0,sancg002,,,3,3,0,0,0,0,2,1,0,0,1,0,0,judga001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
TOR201803300,2018,NYA,8,1,1,1,0,BX,4,1,morak001,L,morak001,L,robed002,R,robed002,R,sancg002,walkn001,wadet002,drurb001,gregd001,mckib001,gardb001,judga001,martr004,,,,F,T,11,9,2,T,T,0,F,F,1,F,F,0,F,F,0,P,F,F,,0,0,N,0,N,0,N,0,1,0,0,,,,,F,F,F,F,F,F,F,F,F,kahnt001,,,F,F,F,F,F,,,,diaza003,6,3,0,0,0,0,0,0,0,61,TOR,TOR,NYA,1,F,F,1,4,0,26,2,T,F,1,1,F,F,travd001,donaj001,F,F,2,7,59,0,0,0,0,0,0,sancg002,,,1,1,0,0,0,0,1,0,0,0,1,0,0,,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
TOR201803300,2018,NYA,8,1,2,1,1,BCX,4,1,travd001,R,travd001,R,robed002,R,robed002,R,sancg002,walkn001,wadet002,drurb001,gregd001,mckib001,gardb001,judga001,martr004,,,,F,F,4,1,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,kahnt001,,,F,F,F,F,F,,,,,0,4,0,0,6,0,0,0,0,62,TOR,TOR,NYA,1,F,T,1,4,0,27,3,T,F,1,1,T,T,donaj001,smoaj001,F,F,2,7,59,0,0,0,0,0,0,sancg002,,,1,1,0,0,0,0,2,1,0,0,1,0,0,gregd001,F,T,F,F,1,0,0,0,0,0,0,0,0,0,F,F
TOR201803300,2018,NYA,9,0,0,1,1,FBX,4,1,drurb001,R,drurb001,R,osunr001,R,osunr001,R,martr004,smoaj001,travd001,solay001,ngoeg001,granc001,pillk001,gricr001,,,,,T,F,5,8,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,6,0,0,0,0,63,TOR,NYA,TOR,0,T,F,4,1,0,34,0,T,F,0,0,T,T,wadet002,gardb001,F,F,0,0,0,0,0,0,0,0,0,,,,1,1,0,0,0,0,2,0,0,1,1,0,0,ngoeg001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
TOR201803300,2018,NYA,9,0,1,0,1,SX,4,1,wadet002,L,wadet002,L,osunr001,R,osunr001,R,martr004,smoaj001,travd001,solay001,ngoeg001,granc001,pillk001,gricr001,,,,,F,F,4,9,2,T,T,0,F,F,1,F,F,0,F,F,1,G,T,F,,0,0,N,0,N,0,N,0,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,1,0,0,0,0,64,TOR,NYA,TOR,0,F,F,4,1,0,35,1,T,F,0,0,T,T,gardb001,judga001,F,F,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,2,0,1,0,1,0,0,osunr001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
TOR201803300,2018,NYA,9,0,2,3,2,CBCBFBFX,4,1,gardb001,L,gardb001,L,osunr001,R,osunr001,R,martr004,smoaj001,travd001,solay001,ngoeg001,granc001,pillk001,gricr001,,,,,F,F,8,1,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,6,0,0,0,0,65,TOR,NYA,TOR,0,F,T,4,1,0,36,2,T,F,0,0,T,T,judga001,stanm004,F,F,0,0,0,0,0,0,0,0,0,,,,3,3,0,0,0,0,5,2,0,2,1,0,0,ngoeg001,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
TOR201803300,2018,NYA,9,1,0,0,2,SCF*S,4,1,donaj001,R,donaj001,R,chapa001,L,chapa001,L,sancg002,walkn001,wadet002,drurb001,gregd001,mckib001,gardb001,judga001,,,,K,T,F,10,2,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,66,TOR,TOR,NYA,1,T,F,1,4,0,28,0,T,F,0,0,T,T,smoaj001,granc001,F,F,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,4,1,2,1,0,0,0,,F,F,F,F,0,0,0,0,1,0,0,0,0,0,F,F
TOR201803300,2018,NYA,9,1,1,0,2,FFS,4,1,smoaj001,R,smoaj001,R,chapa001,L,chapa001,L,sancg002,walkn001,wadet002,drurb001,gregd001,mckib001,gardb001,judga001,,,,K,F,F,3,3,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,67,TOR,TOR,NYA,1,F,F,1,4,0,29,1,T,F,0,0,T,T,granc001,solay001,F,F,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,3,0,1,2,0,0,0,,F,F,F,F,0,0,0,0,1,0,0,0,0,0,F,F
TOR201803300,2018,NYA,9,1,2,3,2,BCBSBX,4,1,pears001,R,pears001,R,chapa001,L,chapa001,L,sancg002,walkn001,wadet002,drurb001,gregd001,mckib001,gardb001,judga001,,,,,F,T,11,4,21,T,T,2,F,F,0,F,F,0,F,F,7,L,F,F,,0,0,N,0,N,0,N,2,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,granc001,7,0,0,0,0,0,0,0,0,68,TOR,TOR,NYA,1,F,F,1,4,0,30,2,T,F,0,2,F,F,solay001,gricr001,F,F,0,0,0,0,0,0,0,0,0,,,,3,3,0,0,0,0,3,1,1,0,1,0,0,mckib001,F,F,F,F,4,0,0,0,1,0,0,0,0,0,F,F
TOR201803300,2018,NYA,9,1,2,0,2,SFX,4,1,solay001,R,solay001,R,chapa001,L,chapa001,L,sancg002,walkn001,wadet002,drurb001,gregd001,mckib001,gardb001,judga001,,pears001,,,F,F,5,5,21,T,T,2,F,F,0,F,F,1,F,F,8,L,F,F,,0,0,N,0,N,0,N,2,0,4,0,,,,,F,F,F,F,F,F,F,F,F,,chapa001,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,69,TOR,TOR,NYA,1,F,F,1,4,1,31,3,T,F,2,2,T,T,gricr001,martr004,F,F,0,0,0,11,4,68,0,0,0,,sancg002,,0,0,0,0,0,0,3,0,1,1,1,0,1,gardb001,F,F,F,F,2,0,4,0,0,0,0,0,0,0,F,F
