94	89	80	65	56
73	54	44	45	47
42	38	28	23	28
39	25	12	16	28
27	13	0	6	0
100	88	78	48	59
55	48	36	32	53
42	38	28	23	28
18	32	4	10	22
0	0	0	0	9
88	77	70	68	81
55	57	44	39	53
42	38	28	23	28
24	25	6	10	34
6	5	12	6	13
97	82	70	58	72
70	50	44	29	53
42	38	28	23	28
21	30	24	19	22
0	4	2	3	13
79	84	86	68	75
58	57	40	35	56
42	38	28	23	28
18	30	18	16	44
6	7	8	13	16
76	82	76	87	75
67	59	52	77	56
42	38	28	23	28
36	34	24	26	47
12	18	12	29	9
97	88	82	74	81
64	61	46	52	63
42	38	28	23	28
39	34	24	13	34
15	25	20	19	13
79	80	76	100	59
58	59	56	74	75
42	38	28	23	28
30	34	28	35	47
24	27	26	13	28
85	100	100	100	100
61	75	72	55	78
42	38	28	23	28
48	46	40	32	50
42	29	36	23	44
