93	83	76	67	70
70	65	50	52	50
44	35	38	19	20
37	30	36	10	20
15	18	22	19	10
89	85	92	71	85
56	63	58	52	60
44	35	38	19	20
15	23	26	29	15
0	0	24	0	5
85	93	86	90	95
74	55	54	57	50
44	35	38	19	20
33	35	26	19	25
11	15	16	5	5
89	100	82	100	100
63	63	54	62	85
44	35	38	19	20
48	25	28	24	35
22	18	22	14	0
100	78	86	62	95
67	58	52	48	60
44	35	38	19	20
70	40	40	24	30
41	30	22	33	25
70	70	60	38	50
59	53	52	43	45
44	35	38	19	20
33	35	40	52	10
48	38	36	43	35
93	98	72	81	65
59	53	48	62	70
44	35	38	19	20
41	28	30	14	30
30	23	26	10	0
85	85	72	76	75
63	55	54	48	50
44	35	38	19	20
19	30	30	33	15
0	8	18	0	10
85	83	100	71	90
59	53	60	52	55
44	35	38	19	20
26	28	32	33	30
33	5	0	0	0
