"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"Total","- - -","- - -","- - -","- - -","487","127","26","4","26","78","64","16","5","9.2 %","25.3 %",".259",".352",".293",".366",".552",".388","143"
"2018-09-30","ATL","@PHI","1","LF","3","1","1","0","0","0","1","0","0","0.0 %","33.3 %",".333",".500",".333",".333",".667",".416","162"
"2018-09-29","ATL","@PHI","1","LF","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","31"
"2018-09-28","ATL","@PHI","1","LF","6","3","0","0","0","1","2","0","0","0.0 %","33.3 %",".000",".750",".500",".500",".500",".440","178"
"2018-09-27","ATL","@NYM","1","CF","4","2","0","0","0","0","1","0","0","0.0 %","0.0 %",".000",".500",".500",".500",".500",".440","178"
"2018-09-26","ATL","@NYM","1","LF","4","1","0","0","0","0","0","1","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","31"
"2018-09-25","ATL","@NYM","1","LF","5","1","0","0","0","0","2","0","0","0.0 %","40.0 %",".000",".500",".250",".400",".250",".320","98"
"2018-09-23","ATL","PHI","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-22","ATL","PHI","1","LF","4","1","0","0","0","2","0","1","0","25.0 %","25.0 %",".000",".500",".333",".500",".333",".392","146"
"2018-09-21","ATL","PHI","1","LF","5","1","0","0","0","2","0","0","0","20.0 %","20.0 %",".000",".333",".250",".400",".250",".314","94"
"2018-09-20","ATL","PHI","1","LF","5","0","0","0","0","0","1","0","0","0.0 %","60.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-19","ATL","STL","1","LF","4","0","0","0","0","1","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","-1"
"2018-09-18","ATL","STL","1","LF","5","1","0","0","1","1","1","0","0","0.0 %","60.0 %",".600",".000",".200",".200",".800",".406","155"
"2018-09-17","ATL","STL","1","LF","5","3","0","0","0","0","1","0","0","0.0 %","20.0 %",".000",".750",".600",".600",".600",".528","237"
"2018-09-16","ATL","WSN","1","LF","5","0","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-15","ATL","WSN","1","LF","4","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","31"
"2018-09-14","ATL","WSN","1","LF","5","4","1","1","0","2","2","0","0","0.0 %","20.0 %",".600","1.000",".800",".800","1.400",".917","497"
"2018-09-12","ATL","@SFG","1","LF","5","1","0","0","0","0","0","0","0","20.0 %","40.0 %",".000",".500",".250",".400",".250",".314","94"
