"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"Total","- - -","- - -","- - -","- - -","3281","820","201","12","102","454","420","40","15","10.0 %","16.0 %",".184",".314",".285",".361",".469",".357","123"
"2018-09-30","WSN","@COL","4","3B","4","0","0","0","0","0","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","-1"
"2018-09-29","WSN","@COL","4","3B","5","1","0","1","0","1","1","0","0","0.0 %","0.0 %",".400",".200",".200",".200",".600",".316","95"
"2018-09-28","WSN","@COL","4","3B","4","2","1","0","0","0","0","0","0","0.0 %","25.0 %",".250",".667",".500",".500",".750",".532","239"
"2018-09-26","WSN","MIA","4","3B","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-25","WSN","MIA","4","3B","4","3","1","0","1","2","4","0","0","0.0 %","0.0 %","1.333","1.000","1.000","1.000","2.333","1.219","698"
"2018-09-24","WSN","MIA","4","3B","4","2","1","0","1","1","4","0","0","0.0 %","0.0 %","1.000",".333",".500",".500","1.500",".820","431"
"2018-09-23","WSN","NYM","4","3B","5","2","0","0","0","0","0","0","0","20.0 %","0.0 %",".000",".500",".500",".600",".500",".490","211"
"2018-09-22","WSN","NYM","4","3B","4","1","1","0","0","1","0","0","0","0.0 %","0.0 %",".333",".333",".333",".500",".667",".492","212"
"2018-09-21","WSN","NYM","4","3B","4","1","0","0","0","1","1","0","0","25.0 %","25.0 %",".000",".500",".333",".500",".333",".392","146"
"2018-09-20","WSN","NYM","4","3B","6","1","0","0","1","1","3","0","0","16.7 %","16.7 %",".600",".000",".200",".333",".800",".453","187"
"2018-09-18","WSN","@MIA","4","3B","5","2","0","0","0","0","2","0","0","0.0 %","0.0 %",".000",".400",".500",".400",".500",".352","119"
"2018-09-17","WSN","@MIA","4","3B","4","3","0","0","1","2","2","0","0","0.0 %","25.0 %",".750","1.000",".750",".750","1.500",".947","517"
"2018-09-16","WSN","@ATL","4","3B","5","3","0","0","1","2","2","0","0","20.0 %","0.0 %",".750",".667",".750",".800","1.500",".896","482"
"2018-09-15","WSN","@ATL","4","3B","5","2","1","0","0","0","2","0","0","20.0 %","20.0 %",".250",".667",".500",".600",".750",".563","260"
"2018-09-14","WSN","@ATL","4","3B","5","1","0","0","0","0","0","0","0","20.0 %","0.0 %",".000",".250",".250",".400",".250",".314","93"
"2018-09-13","WSN","CHC","4","3B","5","0","0","0","0","0","0","0","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".138","-24"
"2018-09-12","WSN","@PHI","4","3B","4","2","2","0","0","1","0","0","0","0.0 %","25.0 %",".500",".667",".500",".500","1.000",".624","300"
"2018-09-11","WSN","@PHI","4","3B","5","0","0","0","0","3","0","0","0","60.0 %","20.0 %",".000",".000",".000",".600",".000",".414","160"
"2018-09-11","WSN","@PHI","4","3B","4","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","31"
"2018-09-08","WSN","CHC","2","3B","4","2","1","0","1","2","2","0","0","0.0 %","25.0 %","1.000",".500",".500",".500","1.500",".820","431"
