"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"Total","- - -","- - -","- - -","- - -","4910","1418","272","25","97","645","464","248","69","6.5 %","11.0 %",".137",".340",".316",".365",".453",".353","126"
"2018-09-30","HOU","@BAL","2","2B","2","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".500",".500",".500",".500",".440","187"
"2018-09-29","HOU","@BAL","1","2B","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","37"
"2018-09-28","HOU","@BAL","1","2B","3","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".333",".333",".333",".333",".293","87"
"2018-09-25","HOU","@TOR","2","DH","5","0","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-24","HOU","@TOR","2","2B","5","2","0","0","0","1","1","0","0","0.0 %","0.0 %",".000",".400",".400",".400",".400",".352","127"
"2018-09-23","HOU","LAA","1","2B","5","1","0","0","0","1","0","0","0","20.0 %","0.0 %",".000",".250",".250",".400",".250",".314","101"
"2018-09-22","HOU","LAA","2","2B","5","3","0","0","1","2","2","0","1","20.0 %","0.0 %",".750",".667",".750",".800","1.500",".896","498"
"2018-09-21","HOU","LAA","2","2B","5","1","0","0","0","1","0","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".176","7"
"2018-09-19","HOU","SEA","2","2B","3","0","0","0","0","0","0","0","0","33.3 %","0.0 %",".000",".000",".000",".333",".000",".230","44"
"2018-09-18","HOU","SEA","2","2B","4","0","0","0","0","1","1","1","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","5"
"2018-09-17","HOU","SEA","2","2B","4","0","0","0","0","0","0","0","0","50.0 %","0.0 %",".000",".000",".000",".500",".000",".345","122"
"2018-09-16","HOU","ARI","2","2B","5","2","0","0","0","0","1","0","0","0.0 %","40.0 %",".000",".667",".400",".400",".400",".352","127"
"2018-09-15","HOU","ARI","2","2B","5","2","1","0","0","3","2","1","0","20.0 %","0.0 %",".333",".667",".667",".800","1.000",".707","369"
"2018-09-14","HOU","ARI","2","2B","4","0","0","0","0","1","0","0","0","25.0 %","0.0 %",".000",".000",".000",".500",".000",".352","127"
"2018-09-11","HOU","@DET","1","2B","5","2","0","0","1","1","1","0","0","0.0 %","0.0 %",".600",".250",".400",".400","1.000",".582","284"
"2018-09-10","HOU","@DET","2","2B","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","37"
"2018-09-09","HOU","@BOS","2","2B","5","2","0","0","1","1","1","0","0","0.0 %","20.0 %",".600",".333",".400",".400","1.000",".582","284"
"2018-09-08","HOU","@BOS","2","2B","5","1","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".333",".250",".400",".250",".320","105"
"2018-09-07","HOU","@BOS","2","2B","5","1","0","0","0","1","0","0","0","0.0 %","40.0 %",".000",".333",".200",".200",".200",".176","7"
"2018-09-05","HOU","MIN","2","2B","5","1","1","0","0","2","1","0","0","40.0 %","20.0 %",".333",".500",".333",".600",".667",".525","245"
"2018-09-04","HOU","MIN","2","2B","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-02","HOU","LAA","2","DH","4","0","0","0","0","0","0","0","0","25.0 %","0.0 %",".000",".000",".000",".250",".000",".172","5"
"2018-09-01","HOU","LAA","2","2B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-31","HOU","LAA","3","2B","4","0","0","0","0","0","0","0","0","0.0 %","75.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-30","HOU","LAA","3","2B","4","2","1","0","0","0","0","0","0","0.0 %","0.0 %",".250",".500",".500",".500",".750",".532","250"
"2018-08-29","HOU","OAK","3","2B","5","1","0","0","0","0","1","0","0","0.0 %","80.0 %",".000","1.000",".200",".200",".200",".176","7"
"2018-08-28","HOU","OAK","3","2B","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-27","HOU","OAK","3","2B","5","2","1","0","0","1","1","0","0","20.0 %","0.0 %",".250",".500",".500",".600",".750",".563","271"
"2018-08-26","HOU","@LAA","2","2B","4","1","0","0","0","0","0","0","1","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","37"
"2018-08-25","HOU","@LAA","2","2B","5","2","0","0","0","2","1","0","0","20.0 %","0.0 %",".000",".667",".667",".800",".667",".634","319"
"2018-08-24","HOU","@LAA","2","2B","5","2","1","0","1","2","1","0","0","0.0 %","40.0 %",".800",".500",".400",".400","1.200",".656","334"
"2018-08-22","HOU","@SEA","2","2B","5","2","0","0","0","0","1","1","0","0.0 %","20.0 %",".000",".500",".400",".400",".400",".352","127"
"2018-08-21","HOU","@SEA","2","2B","4","0","0","0","0","0","0","0","0","25.0 %","0.0 %",".000",".000",".000",".250",".000",".172","5"
"2018-07-25","HOU","@COL","3","2B","2","1","1","0","0","1","1","0","0","0.0 %","0.0 %",".500",".500",".500",".500","1.000",".624","312"
"2018-07-24","HOU","@COL","3","2B","5","2","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".500",".400",".400",".400",".352","127"
"2018-07-22","HOU","@LAA","3","2B","5","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".200",".200",".200",".200",".176","7"
"2018-07-21","HOU","@LAA","3","2B","4","0","0","0","0","0","0","0","0","50.0 %","25.0 %",".000",".000",".000",".500",".000",".230","44"
"2018-07-20","HOU","@LAA","3","2B","4","1","0","0","0","0","1","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","37"
"2018-07-15","HOU","DET","3","2B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-07-14","HOU","DET","3","2B","3","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".333",".333",".333",".333",".293","87"
"2018-07-13","HOU","DET","3","2B","4","2","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".500",".500",".500",".500",".440","187"
"2018-07-12","HOU","OAK","3","2B","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","37"
