"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"Total","- - -","- - -","- - -","- - -","5494","1445","265","35","111","596","550","87","49","5.1 %","16.8 %",".130",".322",".281",".321",".411",".317","97"
"2018-09-30","MIA","@NYM","2","2B","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-29","MIA","@NYM","3","2B","5","2","1","0","0","0","0","0","1","0.0 %","20.0 %",".200",".500",".400",".400",".600",".425","175"
"2018-09-28","MIA","@NYM","2","2B","6","1","0","0","0","0","0","0","0","16.7 %","16.7 %",".000",".250",".200",".333",".200",".262","65"
"2018-09-23","MIA","CIN","3","2B","5","0","0","0","0","1","0","0","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".138","-17"
"2018-09-22","MIA","CIN","2","2B","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-21","MIA","CIN","2","2B","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","37"
"2018-09-20","MIA","CIN","2","2B","4","2","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".667",".500",".500",".500",".440","184"
"2018-09-18","MIA","WSN","8","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-17","MIA","WSN","1","2B","5","2","1","0","1","1","3","0","0","20.0 %","0.0 %","1.000",".333",".500",".600","1.500",".794","421"
"2018-09-16","MIA","@PHI","3","2B","4","1","0","0","0","2","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","37"
"2018-09-15","MIA","@PHI","4","2B","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-14","MIA","@PHI","4","2B","3","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
