"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"Total","- - -","- - -","- - -","- - -","2996","693","150","15","55","291","277","13","11","7.4 %","16.6 %",".127",".293",".256",".316",".383",".300","88"
"2018-09-29","PIT","@CIN","7","SS","2","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-27","PIT","@CHC","8","SS","4","2","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".667",".500",".500",".500",".440","181"
"2018-09-23","PIT","MIL","8","SS","3","1","1","0","0","0","2","0","0","0.0 %","33.3 %",".333",".500",".333",".333",".667",".416","165"
"2018-09-18","PIT","KCR","8","SS","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-14","PIT","@MIL","8","SS","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-10","PIT","@STL","8","SS","4","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","34"
"2018-09-07","PIT","MIA","8","SS","3","1","1","0","0","1","0","0","0","0.0 %","0.0 %",".333",".333",".333",".333",".667",".416","165"
"2018-09-04","PIT","CIN","8","SS","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-02","PIT","@ATL","6","SS","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-30","PIT","@STL","7","SS","4","0","0","0","0","0","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","3"
"2018-08-29","PIT","@STL","8","SS","4","1","1","0","0","1","0","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".312","96"
"2018-08-14","PIT","@MIN","9","SS","1","0","0","0","0","0","0","0","0","100.0 %","0.0 %",".000",".000",".000","1.000",".000",".690","348"
"2018-08-12","PIT","@SFG","8","SS","3","1","0","0","0","1","0","0","0","0.0 %","33.3 %",".000",".500",".333",".333",".333",".293","83"
"2018-08-11","PIT","@SFG","8","SS","3","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".333",".333",".333",".333",".293","83"
"2018-08-10","PIT","@SFG","8","SS","3","2","1","0","0","0","2","0","0","0.0 %","0.0 %",".333",".667",".667",".667","1.000",".709","361"
"2018-08-09","PIT","@SFG","8","SS","4","0","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-07","PIT","@COL","8","SS","4","2","0","0","1","1","3","0","0","0.0 %","25.0 %",".750",".500",".500",".500","1.250",".728","374"
"2018-08-06","PIT","@COL","8","SS","3","0","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-05","PIT","STL","8","SS","3","1","0","0","0","0","0","0","0","33.3 %","0.0 %",".000","1.000","1.000","1.000","1.000",".763","397"
"2018-08-04","PIT","STL","8","SS","4","1","0","0","0","1","1","0","0","25.0 %","0.0 %",".000",".333",".333",".500",".333",".293","83"
"2018-08-03","PIT","STL","8","SS","4","0","0","0","0","0","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","3"
"2018-08-01","PIT","CHC","8","SS","3","0","0","0","0","0","0","0","0","33.3 %","0.0 %",".000",".000",".000",".333",".000",".230","41"
"2018-07-31","PIT","CHC","8","SS","3","1","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".500",".333",".333",".333",".293","83"
"2018-07-28","PIT","NYM","8","SS","4","1","0","0","0","1","0","0","0","25.0 %","0.0 %",".000",".333",".333",".500",".333",".392","150"
"2018-07-27","PIT","NYM","8","SS","4","1","0","0","0","0","0","0","0","25.0 %","25.0 %",".000",".500",".333",".500",".333",".392","150"
"2018-07-26","PIT","NYM","8","SS","4","1","1","0","0","1","0","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".312","96"
"2018-07-25","PIT","@CLE","8","SS","3","1","0","0","0","0","0","0","0","0.0 %","66.7 %",".000","1.000",".333",".333",".333",".293","83"
"2018-07-24","PIT","@CLE","9","SS","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","34"
"2018-07-23","PIT","@CLE","9","SS","3","2","1","0","0","1","0","0","0","0.0 %","0.0 %",".333",".667",".667",".667","1.000",".709","361"
"2018-07-21","PIT","@CIN","8","SS","4","1","1","0","0","1","0","0","0","25.0 %","25.0 %",".500","1.000",".500",".667","1.000",".624","304"
"2018-07-20","PIT","@CIN","8","SS","4","1","0","0","0","1","0","0","0","25.0 %","0.0 %",".000",".333",".333",".500",".333",".293","83"
"2018-07-15","PIT","MIL","8","SS","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".250",".000",".180","8"
"2018-07-14","PIT","MIL","8","SS","3","1","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".500",".333",".333",".333",".293","83"
