"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"Total","- - -","- - -","- - -","- - -","3232","832","176","14","74","432","386","49","12","7.6 %","18.3 %",".145",".332",".284",".343",".429",".334","106"
"2018-09-30","BOS","NYY","4","SS","3","2","1","0","1","1","2","0","0","0.0 %","0.0 %","1.333",".500",".667",".667","2.000","1.093","624"
"2018-09-28","BOS","NYY","4","SS","5","0","0","0","0","1","1","0","0","40.0 %","20.0 %",".000",".000",".000",".400",".000",".276","67"
"2018-09-26","BOS","BAL","4","SS","4","2","1","0","1","2","4","0","0","0.0 %","25.0 %","1.000",".500",".500",".500","1.500",".820","437"
"2018-09-24","BOS","BAL","4","SS","4","2","0","0","0","0","1","0","0","0.0 %","0.0 %",".000",".500",".500",".500",".500",".440","178"
"2018-09-23","BOS","@CLE","3","SS","4","1","0","0","0","0","0","0","0","50.0 %","25.0 %",".000","1.000",".500",".750",".500",".565","264"
"2018-09-22","BOS","@CLE","5","SS","5","1","0","0","0","0","0","0","0","20.0 %","20.0 %",".000",".333",".250",".400",".250",".314","93"
"2018-09-20","BOS","@NYY","4","SS","5","0","0","0","0","0","1","0","0","0.0 %","40.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-19","BOS","@NYY","4","SS","3","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-18","BOS","@NYY","4","SS","4","1","1","0","0","0","0","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".312","91"
"2018-09-15","BOS","NYM","4","SS","4","1","0","0","0","0","1","1","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","28"
"2018-09-14","BOS","NYM","5","SS","3","0","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-13","BOS","TOR","5","SS","4","2","1","0","0","1","0","1","0","0.0 %","25.0 %",".250",".667",".500",".500",".750",".532","241"
"2018-09-12","BOS","TOR","4","SS","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","28"
"2018-09-11","BOS","TOR","4","SS","4","0","0","0","0","1","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","-4"
"2018-09-09","BOS","HOU","4","SS","5","4","0","0","0","0","1","0","0","20.0 %","0.0 %",".000","1.000","1.000","1.000","1.000",".842","452"
"2018-09-08","BOS","HOU","4","SS","4","3","0","0","1","1","2","0","0","0.0 %","25.0 %",".750","1.000",".750",".750","1.500",".947","525"
"2018-09-07","BOS","HOU","4","SS","4","1","0","0","1","1","1","0","0","0.0 %","50.0 %",".750",".000",".250",".250","1.000",".508","225"
"2018-09-05","BOS","@ATL","9","PH-SS","1","0","0","0","0","0","0","0","0","100.0 %","0.0 %",".000",".000",".000","1.000",".000",".690","349"
"2018-09-04","BOS","@ATL","4","SS","5","1","1","0","0","0","1","0","0","40.0 %","0.0 %",".333",".333",".333",".600",".667",".525","237"
"2018-09-03","BOS","@ATL","4","SS","5","1","1","0","0","0","2","0","0","0.0 %","40.0 %",".200",".333",".200",".200",".400",".249","49"
"2018-09-02","BOS","@CHW","2","SS","3","2","0","0","0","0","0","1","0","0.0 %","0.0 %",".000",".667",".667",".667",".667",".586","278"
"2018-09-01","BOS","@CHW","5","SS","4","0","0","0","0","0","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","-4"
"2018-08-31","BOS","@CHW","4","SS","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","28"
"2018-08-30","BOS","@CHW","4","SS","5","0","0","0","0","0","0","0","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".138","-27"
"2018-08-29","BOS","MIA","5","SS","5","1","0","0","0","1","1","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".176","-2"
"2018-08-28","BOS","MIA","5","SS","5","2","1","0","0","1","1","0","0","0.0 %","0.0 %",".250",".400",".500",".400",".750",".425","169"
"2018-08-26","BOS","@TBR","3","SS","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-25","BOS","@TBR","5","SS","3","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".333",".333",".333",".333",".293","78"
"2018-08-24","BOS","@TBR","5","SS","5","3","0","0","0","0","2","0","0","0.0 %","20.0 %",".000",".750",".600",".600",".600",".528","238"
"2018-08-23","BOS","CLE","5","SS","5","1","1","0","0","1","2","0","0","0.0 %","40.0 %",".200",".333",".200",".200",".400",".249","49"
"2018-08-22","BOS","CLE","5","SS","5","2","0","0","2","2","2","0","0","0.0 %","20.0 %","1.200",".000",".400",".400","1.600",".812","432"
"2018-08-21","BOS","CLE","4","SS","4","1","1","0","0","1","1","0","0","0.0 %","0.0 %",".250",".250",".250",".250",".500",".312","91"
"2018-08-20","BOS","CLE","5","SS","5","2","0","0","0","0","3","0","0","0.0 %","0.0 %",".000",".400",".400",".400",".400",".352","118"
"2018-08-19","BOS","TBR","5","SS","3","1","1","0","0","0","0","0","0","33.3 %","0.0 %",".500",".500",".500",".667","1.000",".646","319"
"2018-08-18","BOS","TBR","5","SS","3","0","0","0","0","1","0","0","0","33.3 %","0.0 %",".000",".000",".000",".333",".000",".230","35"
"2018-08-17","BOS","TBR","5","SS","4","3","2","1","0","1","2","0","0","0.0 %","0.0 %","1.000",".750",".750",".750","1.750","1.018","573"
"2018-08-15","BOS","@PHI","5","SS","4","1","0","0","0","0","0","0","0","25.0 %","0.0 %",".000",".333",".333",".500",".333",".392","146"
"2018-08-14","BOS","@PHI","5","SS","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","28"
"2018-08-11","BOS","@BAL","5","SS","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-11","BOS","@BAL","5","SS","4","3","1","0","0","2","0","1","0","0.0 %","25.0 %",".250","1.000",".750",".750","1.000",".752","391"
"2018-08-10","BOS","@BAL","5","SS","6","1","0","0","1","2","4","1","0","33.3 %","16.7 %",".750",".000",".250",".500","1.000",".568","266"
"2018-08-09","BOS","@TOR","5","SS","4","0","0","0","0","0","0","0","0","50.0 %","0.0 %",".000",".000",".000",".500",".000",".345","114"
"2018-08-08","BOS","@TOR","5","SS","5","1","1","0","0","0","3","0","0","40.0 %","0.0 %",".500",".333",".500",".600","1.000",".525","237"
"2018-08-07","BOS","@TOR","5","SS","5","1","0","0","0","1","0","1","0","20.0 %","0.0 %",".000",".250",".250",".400",".250",".314","93"
"2018-08-05","BOS","NYY","5","SS","5","1","0","0","0","0","0","0","1","20.0 %","20.0 %",".000",".333",".250",".400",".250",".314","93"
"2018-08-04","BOS","NYY","5","SS","3","0","0","0","0","0","0","0","0","33.3 %","33.3 %",".000",".000",".000",".333",".000",".230","35"
"2018-08-03","BOS","NYY","3","SS","0","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000",""
"2018-07-31","BOS","PHI","5","SS","4","1","1","0","0","0","1","0","0","0.0 %","0.0 %",".333",".333",".333",".500",".667",".492","214"
"2018-07-30","BOS","PHI","5","SS","5","0","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-07-28","BOS","MIN","5","SS","5","1","0","0","0","1","0","0","0","20.0 %","20.0 %",".000",".333",".250",".400",".250",".220","28"
"2018-07-27","BOS","MIN","4","SS","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-07-26","BOS","MIN","4","SS","4","2","1","0","0","0","0","0","0","0.0 %","25.0 %",".250",".667",".500",".500",".750",".532","241"
"2018-07-24","BOS","@BAL","5","SS","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-07-23","BOS","@BAL","5","SS","4","1","1","0","0","1","0","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".312","91"
"2018-07-22","BOS","@DET","5","SS","3","2","2","0","0","2","0","0","0","0.0 %","0.0 %",".667",".667",".667",".667","1.333",".832","446"
"2018-07-21","BOS","@DET","3","SS","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-07-20","BOS","@DET","5","SS","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","28"
"2018-07-15","BOS","TOR","2","SS","4","1","0","0","1","1","2","0","0","0.0 %","25.0 %",".750",".000",".250",".250","1.000",".508","225"
"2018-07-14","BOS","TOR","4","SS","5","2","1","0","1","2","4","0","0","0.0 %","20.0 %",".800",".333",".400",".400","1.200",".656","326"
"2018-07-13","BOS","TOR","4","SS","5","1","0","0","0","0","1","0","0","20.0 %","60.0 %",".000","1.000",".250",".400",".250",".314","93"
"2018-07-12","BOS","TOR","5","SS","4","1","0","0","0","1","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","28"
"2018-07-11","BOS","TEX","5","SS","4","3","0","1","0","1","1","0","0","0.0 %","0.0 %",".500",".750",".750",".750","1.250",".834","447"
"2018-07-10","BOS","TEX","5","SS","4","1","0","1","0","0","2","0","0","0.0 %","0.0 %",".500",".250",".250",".250",".750",".395","148"
"2018-07-09","BOS","TEX","5","SS","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-07-08","BOS","@KCR","5","SS","5","2","1","0","0","1","2","0","0","20.0 %","0.0 %",".333",".500",".667",".600","1.000",".563","263"
"2018-07-07","BOS","@KCR","5","SS","6","1","1","0","0","2","3","0","0","50.0 %","0.0 %",".333",".333",".333",".667",".667",".525","237"
"2018-07-06","BOS","@KCR","5","SS","5","1","0","0","1","2","2","0","0","40.0 %","0.0 %","1.000",".000",".333",".600","1.333",".682","344"
"2018-07-03","BOS","@WSN","5","SS","5","2","0","0","1","1","3","0","0","40.0 %","0.0 %","1.000",".500",".667",".800","1.667",".858","464"
"2018-07-02","BOS","@WSN","3","SS","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".250",".000",".180","1"
"2018-07-01","BOS","@NYY","5","SS","3","0","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100"
"2018-06-30","BOS","@NYY","5","SS","5","2","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".400",".400",".400",".400",".352","118"
"2018-06-29","BOS","@NYY","5","SS","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-06-28","BOS","LAA","5","SS","4","1","1","0","0","0","0","0","0","50.0 %","0.0 %",".500",".500",".500",".750","1.000",".646","319"
"2018-06-27","BOS","LAA","4","SS","5","1","1","0","0","0","0","0","0","0.0 %","20.0 %",".200",".250",".200",".200",".400",".249","49"
"2018-06-26","BOS","LAA","4","SS","5","1","1","0","0","0","0","0","0","40.0 %","0.0 %",".333",".333",".333",".600",".667",".484","209"
"2018-06-24","BOS","SEA","5","SS","4","1","1","0","0","1","0","0","0","0.0 %","0.0 %",".250",".250",".250",".250",".500",".312","91"
"2018-06-22","BOS","SEA","5","SS","4","1","0","0","0","0","1","1","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","28"
"2018-06-21","BOS","@MIN","5","SS","5","2","1","0","0","1","2","0","0","0.0 %","0.0 %",".200",".400",".400",".400",".600",".425","169"
"2018-06-20","BOS","@MIN","3","SS","4","1","1","0","0","0","0","0","0","0.0 %","0.0 %",".250",".250",".250",".250",".500",".312","91"
"2018-06-19","BOS","@MIN","3","SS","5","1","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".176","-2"
"2018-06-17","BOS","@SEA","3","SS","5","2","0","0","1","2","2","0","0","0.0 %","20.0 %",".600",".333",".400",".400","1.000",".582","275"
"2018-06-16","BOS","@SEA","5","SS","3","0","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100"
"2018-06-15","BOS","@SEA","5","SS","5","1","0","0","1","1","3","0","0","20.0 %","0.0 %",".750",".000",".250",".400","1.000",".544","250"
"2018-06-14","BOS","@SEA","5","SS","4","2","0","0","1","1","1","0","0","0.0 %","50.0 %",".750","1.000",".500",".500","1.250",".728","375"
"2018-06-13","BOS","@BAL","3","SS","5","0","0","0","0","0","1","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-06-12","BOS","@BAL","5","SS","5","1","0","0","0","2","0","0","0","40.0 %","0.0 %",".000",".333",".333",".600",".333",".452","187"
"2018-06-11","BOS","@BAL","5","SS","5","2","0","0","0","1","0","0","0","20.0 %","0.0 %",".000",".500",".500",".600",".500",".490","212"
"2018-06-10","BOS","CHW","2","SS","5","0","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".200",".000",".144","-23"
"2018-06-09","BOS","CHW","2","SS","4","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","28"
"2018-06-08","BOS","CHW","3","SS","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".220","28"
"2018-06-07","BOS","DET","2","SS","5","0","0","0","0","0","1","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-06-06","BOS","DET","2","SS","4","3","1","0","0","0","2","0","0","0.0 %","25.0 %",".250","1.000",".750",".750","1.000",".752","391"
"2018-06-05","BOS","DET","2","SS","4","1","0","0","1","1","1","0","0","25.0 %","50.0 %","1.000",".000",".333",".500","1.333",".680","342"
