"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"Total","- - -","- - -","- - -","- - -","2699","564","121","24","46","306","279","24","14","10.4 %","20.1 %",".131",".291",".240",".324",".370",".303","85"
"2018-09-30","ARI","@SDP","3","1B","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-29","ARI","@SDP","5","1B","4","2","1","0","0","3","0","0","0","25.0 %","0.0 %",".333",".667",".667",".750","1.000",".704","354"
"2018-09-28","ARI","@SDP","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-25","ARI","LAD","5","2B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-24","ARI","LAD","8","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-23","ARI","COL","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-22","ARI","COL","5","2B","3","0","0","0","0","0","0","0","0","0.0 %","66.7 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-21","ARI","COL","5","2B","4","1","1","0","0","0","0","0","0","0.0 %","0.0 %",".250",".250",".250",".250",".500",".312","92"
"2018-09-17","ARI","CHC","5","2B","3","0","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-16","ARI","@HOU","6","DH","4","1","0","0","1","1","2","0","0","25.0 %","25.0 %","1.000",".000",".333",".500","1.333",".680","338"
"2018-09-15","ARI","@HOU","5","DH","4","1","1","0","0","1","0","0","0","0.0 %","25.0 %",".333",".500",".333",".333",".667",".416","162"
"2018-09-14","ARI","@HOU","5","PH-DH","2","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-12","ARI","@COL","5","2B","4","0","0","0","0","0","0","0","0","25.0 %","50.0 %",".000",".000",".000",".250",".000",".172","-1"
"2018-09-10","ARI","@COL","5","2B","3","0","0","0","0","0","0","0","0","33.3 %","33.3 %",".000",".000",".000",".333",".000",".230","38"
"2018-09-09","ARI","ATL","5","2B","4","0","0","0","0","1","0","0","0","50.0 %","0.0 %",".000",".000",".000",".500",".000",".230","38"
"2018-09-08","ARI","ATL","5","2B","5","1","1","0","0","0","1","0","0","0.0 %","0.0 %",".200",".200",".200",".200",".400",".249","51"
"2018-09-07","ARI","ATL","6","2B","4","1","0","0","0","0","2","0","0","0.0 %","50.0 %",".000",".500",".250",".250",".250",".220","31"
"2018-09-06","ARI","ATL","8","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-09-04","ARI","SDP","9","PH","1","1","0","0","0","1","1","0","0","0.0 %","0.0 %",".000","1.000","1.000","1.000","1.000",".880","471"
"2018-09-03","ARI","SDP","6","2B","4","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".220","31"
"2018-09-02","ARI","@LAD","6","2B-3B","4","1","0","0","1","1","1","0","0","25.0 %","50.0 %","1.000",".000",".333",".500","1.333",".680","338"
"2018-08-29","ARI","@SFG","5","3B","4","0","0","0","0","0","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".172","-1"
"2018-08-27","ARI","@SFG","5","2B","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-26","ARI","SEA","6","2B","3","0","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-25","ARI","SEA","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-24","ARI","SEA","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-22","ARI","LAA","5","2B","4","2","0","0","0","0","0","0","0","0.0 %","50.0 %",".000","1.000",".500",".500",".500",".440","178"
"2018-08-19","ARI","@SDP","6","2B","4","1","0","0","1","2","1","0","0","50.0 %","0.0 %","1.500",".000",".500",".750","2.000",".852","453"
"2018-08-18","ARI","@SDP","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-17","ARI","@SDP","6","2B","3","0","0","0","0","0","0","0","0","0.0 %","66.7 %",".000",".000",".000",".000",".000",".000","-100"
"2018-08-14","ARI","@TEX","7","1B","4","1","1","0","0","1","2","0","0","0.0 %","50.0 %",".250",".500",".250",".250",".500",".312","92"
"2018-08-13","ARI","@TEX","7","DH","4","0","0","0","0","1","0","0","0","25.0 %","50.0 %",".000",".000",".000",".250",".000",".172","-1"
